Title,Area,Address,Bedroom,WC,Floor,links,Description,Price(Mil)
"Bán Biệt thự sân vườn Quận 12, 130m2, 3 Tầng 7PN, Giá 9.2 Tỷ Giá rất tốt chốt bất ngờ",130.0,Hồ Chí Minh,7.0,6.0,3.0,https://batdongsan.vn/ban-biet-thu-san-vuon-quan-12-130m2-3-tang-7pn-gia-92-ty-gia-rat-tot-chot-bat-ngo-r268184,"+ Kết cấu: 7 PN, 6 WC, ban công, phòng thờ, Phòng Karaoke, có gara để xe hơi. Chủ tặng toàn bộ nội thất.+ Vị trí: Thạnh Xuân 40 Ngay Hà Huy Giáp, Kế bên Gò Vấp.+ Hẻm xe tải tránh, Khu an ninh, dân trí cao, khu toàn biệt thự, sân để 2 Ô tô 7 chỗ.+ Trước mặt nhà đường chuẩn bị mở rộng (ĐƯỜNG THẠNH XUÂN 40) chủ nhà là dân xây dựng chuyên làm về cơ sở hạ tầng, đã đón đầu xu thế.Liên hệ: Ms. Trúc chuyên nhà ngon Sài Gòn 09898.100.85(zalo)/ 0938.966.136",9200.0
2.9 Tỷ Diện Tích 65/80m2 Nhà Kiệt Lê Văn Hưu Ngũ Hành Sơn Đà Nẵng.,65.0,Đà Nẵng,4.0,2.0,2.0,https://batdongsan.vn/29-ty-dien-tich-6580m2-nha-kiet-le-van-huu-ngu-hanh-son-da-nang-r268704,"2.9 Tỷ Diện Tích 65/80m2 Nhà Kiệt Lê Văn Hưu Ngũ Hành Sơn Đà Nẵng.Chính chủ gửi bán nhà c4 kiệt Lê Văn Hưu cách đại học kinh tế 50m kiệt gần 3m thông.+ Nhà chủ tự xây chăc chắn với 2 phòng ngủ, công năng đủ, ( có sân để xe riêng).+ Vị trí: gần trường đại học kinh tế, chợ bắc mỹ an, biển mỹ khê. Tiện ích vô vàn an sinh đỉnh.+ Khu vực trung tâm  nhà ngay gần đường Lê Văn Hưu, ra đường Ngô Quyền, Phan Tứ v..v.+ Pháp lý chuẩn sổ hồng chính chủ nở hậu tài lộc.+ Chủ nhà thân thiện mong gặp khách thiện chí.  + khách quan tâm gọi ngay Minh Nhà Phố xem nhà làm việc chính chủ.+ Cảm ơn anh, chị, em đã xem tin.",2900.0
Bán Nhà Kim Ngưu – Phân Lô Ô Tô – Nở Hậu – Mặt Tiền 5.5m – 90m2*5 Tầng Thang Máy – 14 Tỷ,90.0,Hà Nội,5.0,4.0,5.0,https://batdongsan.vn/ban-nha-kim-nguu-phan-lo-o-to-no-hau-mat-tien-55m-90m25-tang-thang-may-14-ty-r268701,"“KHÔNG MUA NHÀ NÀY THÌ MUA NHÀ NÀO”- BÁN NHÀ TAM TRINH, PHƯỜNG VĨNH TUY. NHÀ CÁCH CẦU MAI ĐỘNG CHỈ KHOẢNG 150m. NẰM TRONG KHU PHÂN LÔ VIP “KHÔNG CÓ NHÀ THỨ 2 BÁN”, NGÕ RỘNG 2 Ô TÔ TẢI TRÁNH, VỪA Ở VỪA KINH DOANH KHÔNG HẾT ĐẤT, NHÀ 5 TẦNG, MẶT TIỀN GẦN 6m, NỞ HẬU, DT 90m2, NHỈNH 14 TỶ- Bán nhà ngõ Tam Trinh, DT 90m², mặt tiền gần 6m, xây dựng 5 tầng, nhỉnh 14 tỷ- Nằm tại khu vực sầm uất bậc nhất Hai Bà Trưng, tiện ích bạt ngàn, gần Trường ĐH Vinschool, Bách Khoa, Kinh tế Quốc Dân, Xây Dựng, gần bệnh viện Thanh Nhàn, Vinmec..!- Kế cạnh các tuyến đường lớn như: Thanh Nhàn, Trần Khát Chân, Lò Đúc, Lạc Trung, Minh Khai…- Vài phút lên Bờ Hồ, phố cổ. Thuận tiện di chuyển sang các quận như Long Biên, Hoàn Kiếm, Đống Đa…hay đi sang các tỉnh thành khác- Nhà tự xây, đồ đạc tự mua để ở và sử dụng nên rất tốtNhà được thiết kế. - Tầng 1: Gara Ô tô, Phòng ăn bếp, Vệ sinh- Tầng 2, 3, 4 mỗi tầng 2 phòng ngủ, vệ sinh giữa.- Tầng 5: 2 sân thượng một bên View Time Cty, một bên View 2 toà Vinaconex có thể thiết kế thêm 1 phòng nữa.+ Nhà có thiết kế ô chờ thang máy.- Liên hệ Mr Luân – Chuyên bán nhà Tam Trinh",14000.0
Quận 3 - Lê Văn Sỹ - 5 TẦNG BTCT - Hẻm xe hơi thông 1 trục - 50M2- OTO NGỦ TRONG NHÀ,,Hồ Chí Minh,4.0,2.0,5.0,https://batdongsan.vn/quan-3-le-van-sy-5-tang-btct-hem-xe-hoi-thong-1-truc-50m2-oto-ngu-trong-nha-r268700,"+ Kế bên Quận 1 - Quận 3 -Khu dân cư sầm uất + 5 tầng - 5 pn - 5 X 10M - OTO NGỦ TRONG NHÀ + Tiện ích bủa vây , cách sân bay chỉ 5 phút + Khu dân cư an ninh , hàng xóm thân thiện+ Sổ chính chủ , ngay tại nhà , công chứng ngay",
"Bán Gấp Nhà đẹp Điện Biên Phủ, Phường 22, Bình Thạnh, HXH 7 chỗ, 3 tầng  chỉ 4 tỷ 400.",38.0,Hồ Chí Minh,3.0,3.0,3.0,https://batdongsan.vn/ban-gap-nha-dep-dien-bien-phu-phuong-22-binh-thanh-hxh-7-cho-3-tang-chi-4-ty-400-r268684,"Bán Gấp Nhà đẹp Điện Biên Phủ, Phường 22, Bình Thạnh, HXH 7 chỗ, 3 tầng  chỉ 4 tỷ 400.+ Vị trí: Đ. Điện Biên Phủ, P22, Bình Thạnh. Quận 1 tương lai.+ Diện tích 38m2 sổ vuông A4.+ Kết cấu trệt 2 lầu, 2 Phòng ngủ master, 2WC+ Ưu điểm nhà: Hẻm trước nhà chuẩn 4m, xe 7 chỗ, bước 1 bước ra Hẻm 9m xe tải tránh, gần mặt tiền, tiện kinh doanh online,...+ Đối diện nhà có căn 30m2, 4 Tầng hiện đang rao 10 Tỷ.+ Dân trí cao, toàn nhà cao tầng, cán bộ công nhân viên chức ở.+ không có căn so sánh trong phân khúc nhỉnh 4 Tỷ, có nhà đẹp, hẻm xe hơi, dân trí sang.+ Sổ sạch, pháp lý chuẩn, hoàn công đủ, công chứng ngay.Liên hệ Nguyễn Hương hỗ trợ xem nhà & tư vấn pháp lý. Cam kết khách hàng mua được giá tốt nhất thị trường.",4400.0
"Nhà mới cách 1 căn ra mặt tiền, cạnh Vua Biển 68 Lê Trọng Tấn, 3.9 tỷ",45.0,Hồ Chí Minh,2.0,2.0,2.0,https://batdongsan.vn/nha-moi-cach-1-can-ra-mat-tien-canh-vua-bien-68-le-trong-tan-39-ty-r268681,"Nhà xây 2 tầng, trệt và lửng, có 2 phòng ngủ. Vị trí cách 1 căn nhà ra mặt tiền Lê Trọng Tấn, hẻm 6m xe hơi tránh nhau. Nhà gần Sacombank, cạnh nhà hàng Vua Biển 68, xung quanh nhiều tiện ích, qua Aeon chỉ vài trăm mét. Pháp lý chuẩn, chưa mua bán khi nào. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.",3900.0
"Nhà mới cách 1 căn ra mặt tiền, cạnh Vua Biển 68 Lê Trọng Tấn, 3.9 tỷ",45.0,Hồ Chí Minh,2.0,2.0,2.0,https://batdongsan.vn/nha-moi-cach-1-can-ra-mat-tien-canh-vua-bien-68-le-trong-tan-39-ty-r268680,"Nhà xây 2 tầng, trệt và lửng, có 2 phòng ngủ. Vị trí cách 1 căn nhà ra mặt tiền Lê Trọng Tấn, hẻm 6m xe hơi tránh nhau. Nhà gần Sacombank, cạnh nhà hàng Vua Biển 68, xung quanh nhiều tiện ích, qua Aeon chỉ vài trăm mét. Pháp lý chuẩn, chưa mua bán khi nào. Liên hệ anh Võ: 0909 100 817. Không tiếp trung gian.",3900.0
"Gò Vấp, khu nhà cao tầng Thống Nhất Phường 11, HXH 51m2 6 tầng 12.7 tỷ",51.0,Hồ Chí Minh,4.0,5.0,6.0,https://batdongsan.vn/go-vap-khu-nha-cao-tang-thong-nhat-phuong-11-hxh-51m2-6-tang-127-ty-r268677,"MS 13523*  Vị trí đẹp, khu phân lô đồng bộ, dãy nhà cao tầng đường Thống Nhất Phường 11 Gò Vấp.* Nhà mới, thiết kế hiện đại, cao cấp. Diện tích 51m2, 4m x 12.5m, 6 tầng BTCT.* Thiết kế 1 trệt 1 lửng 3 lầu, sân thượng. Gồm 4 phòng ngủ, phòng khách, phòng thờ. ban công, giếng trời thông thoáng. Thang máy 630kg, xe hơi ngủ nhà.* Nội thất cao cấp, tặng lại cho chủ mua thiện chí.* Đường trước nhà tráng nhựa sạch sẽ rộng 6m, thông. Khu dân trí, an ninh, yên tĩnh.*  Tiện ích xung quanh không thiếu gì.* Sổ hồng hoàn công đủ.",12700.0
"Bán nhà Lô góc, mặt phố lớn Chùa Láng cực VIP 4 tầng, mt 6m kinh doanh sầm uất chỉ 25 tỷ",50.0,Hà Nội,4.0,2.0,4.0,https://batdongsan.vn/ban-nha-lo-goc-mat-pho-lon-chua-lang-cuc-vip-4-tang-mt-6m-kinh-doanh-sam-uat-chi-25-ty-r268675,"Bán nhà Lô góc, mặt phố lớn Chùa Láng cực VIP 4 tầng, mt 6m kinh doanh sầm uất chỉ 25 tỷ- Nhà nằm tại mặt phố Chùa Láng cực VIP, trung tâm quận Đống Đa. Phố kinh doanh sầm uất, tấp nập, gần các trường Đại Học lớn: ĐH Ngoại Thương, Ngoại Giao, Luật,..- Xây 4 tầng chắc chắn, mặt tiền rộng 6m, đường oto tránh thoải mái, vỉa hè rộng. Phù hợp kinh doanh nhiều mặt hàng hoặc sửa chữa làm toà Văn Phòng siêu VIP.+ Tầng 1 cho thuê 30 triệu/tháng+ Tầng 2 chia 2 phòng khách và ngủ.+ Tầng 3 bếp và phòng ngủ.+ Tầng 4 phòng ngủ sân phơi- Sổ đỏ chính chủ, sẵn sáng giao dịch=== Giá 25 tỷ=== Liên hệ xem nhà và nhận đầy đủ thông tin nhất: 098.7274.966",25000.0
"Nhà mới ở ngay HXH Phạm Văn Chiêu P9 Gò Vấp, 47.2m2, 5 tầng chỉ 7.4 tỷ",48.0,Hồ Chí Minh,4.0,5.0,5.0,https://batdongsan.vn/nha-moi-o-ngay-hxh-pham-van-chieu-p9-go-vap-472m2-5-tang-chi-74-ty-r268669,"MS 13623* Vị trí: nhà khu phân lô đường Phạm Văn Chiêu Phường 9 Gò Vấp, gần mặt tiền, khu vực không thiếu dịch vụ tiện ích.* Nhà xây để ở rất chắc chắn, mặt tiền ốp gạch men. Đường nội bộ tráng nhựa rộng 5m, xe hơi đậu trước cửa, ngủ nhà. Hàng xóm nhà cao tầng, an ninh, dân trí.* Diện tích công nhận 47.2m2. Kết cấu: 1 trệt 1 lửng 2 lầu, sân thượng trước sau, gồm 4 phòng ngủ, 5 wc, phòng khách, garage xe hơi.• Nhà mới, vào ở ngay, tặng nội thất cho khách mua thiện chí.• Sổ hồng hoàn công đủ, công chứng ngay.",7400.0
